'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Figure 1,"",'0,'76.90429688
'1,'Text 1,"'Head Office and Factories",'1,'98.29101563
'1,'Text 2,"'Seoul Office (Global Sales DIV.)",'2,'99.21875000
'1,'Text 3,"'2091, Gyeongchung-daero, Bubal-eup, Icheon-si, Gyeonggi-do, 17366, Korea",'3,'57.47070313
'1,'Text 4,"'7F, East Bldg., Hyundai Group Bldg. 194, Yulgok-ro, Jongno-gu, Seoul, 03127, Korea",'4,'98.82812500
'1,'Text 5,"'Tel: 82-2-3670-0668 Fax: 82-2-3672-8763-4",'5,'46.99707031
'1,'Figure 2,"",'6,'66.11328125
'1,'Section header 1,"'SHANGHAI HYUNDAI ELEVATOR CO.,LTD",'7,'56.78710938
'1,'Text 6,"'Head Office & Factory",'8,'97.50976563
'1,'Text 7,"'Shanghai Office",'9,'96.82617188
'1,'Text 8,"'Liantang Town,Qingpu District,Shanghai,China P.C.:207716",'10,'92.91992188
'1,'Text 9,"'12F,|Block A) Guiping Rd.Xuhui District,Shanghai,China",'11,'95.65429688
'1,'Text 10,"'Tel:021-5981-3900 Fax:021-5981-3903",'12,'38.57421875
'1,'Text 11,"'AFRICA",'13,'99.41406250
'1,'Text 12,"'JAPAN",'14,'98.09570313
'1,'Text 13,"'CAMBODIA T. 855-23-888-199 E. project@ggear.com.kh",'15,'56.68945313
'1,'Text 14,"'[Head Office (Factory)] T. 86-21-6485-8600 E. 2017407@hdel.co.kr",'16,'61.96289063
'1,'Text 15,"'HONG KONG T. 86-755-2585-5903 E. hyundaisz@naver.com",'17,'56.00585938
'1,'Text 16,"'CHINA",'18,'56.88476563
'1,'Text 17,"'ASIA",'19,'57.08007813
'1,'Text 18,"'T. 91-20-3250-2190 E. mmotwani@kcl.kineticindia.com",'20,'55.07812500
'1,'Text 19,"'INDONESIA T. 62-21-631-8444 E. marketing@superhelindo.co.id",'21,'54.98046875
'1,'Text 20,"'T. 92-21-3432-0601-5",'22,'61.42578125
'1,'Text 21,"'E. iitcpk@gmail.com",'23,'58.69140625
'1,'Text 22,"'T. 632-716-0905 E. hyco@pldtdsl.net",'24,'65.91796875
'1,'Text 23,"'T. 660-2348-8787 E. narongth@loxley.co.th",'25,'64.50195313
'1,'Text 24,"'VIETNAM T. 84-913-927-601 E. sb.park@hdel.co.kr",'26,'53.90625000
'1,'Section header 2,"'EUROPE & CIS",'27,'62.06054688
'1,'Text 25,"'ARMENIA T. 971-4-440-4927 E. natalya@fd-jcb.am",'28,'83.74023438
'1,'Text 26,"'KAZAKHSTAN",'29,'58.49609375
'1,'Text 27,"'T. 994-12-555-1744-46 E. office@astexnika.com",'30,'76.41601563
'1,'Text 28,"'KYRGYZSTAN",'31,'61.03515625
'1,'Text 29,"'T. 996-312-474205 E. 918882@hotmail.com",'32,'64.40429688
'1,'Text 30,"'RUSSIA",'33,'75.68359375
'1,'Text 31,"'T. 81-3-3436-5117",'34,'65.82031250
'1,'Text 32,"'[Moscow]",'35,'62.89062500
'1,'Text 33,"'ALGERIA",'36,'99.02343750
'1,'Text 34,"'E. yoshimi-saitoh@daiko-s.co.jp",'37,'47.92480469
'1,'Text 35,"'T. 7-495-514-00-32",'38,'78.56445313
'1,'Text 36,"'T. 213-661-52-89-43",'39,'78.51562500
'1,'Text 37,"'E. howsolpanalgerie@gmail.com",'40,'92.43164063
'1,'Text 38,"'MALAYSIA",'41,'97.26562500
'1,'Text 39,"'E. mastersiverlift@gmail.com",'42,'81.49414063
'1,'Text 40,"'T. 603-6733-2999",'43,'89.79492188
'1,'Text 41,"'[Vladi]",'44,'99.02343750
'1,'Text 42,"'EGYPT",'45,'98.29101563
'1,'Text 43,"'E. brian.lee@hem.com.my",'46,'76.80664063
'1,'Text 44,"'T. 7-423-222-98-73",'47,'84.57031250
'1,'Text 45,"'T. 20-1-066628331",'48,'76.36718750
'1,'Text 46,"'T. 90-216-488-8000 E. hakan.ek@hmf.com.tr",'49,'73.04687500
'1,'Text 47,"'E. info@dvc.ru",'50,'62.35351563
'1,'Text 48,"'E. overseas@iet-hyundaielevator.com",'51,'78.07617188
'1,'Text 49,"'MONGOLIA",'52,'99.21875000
'1,'Text 50,"'T. 976-11-7015-3333",'53,'89.99023438
'1,'Text 51,"'TURKEY",'54,'80.37109375
'1,'Text 52,"'ETHIOPIA",'55,'95.94726563
'1,'Text 53,"'E. khishigbaatar@hyundai-elevator.mn",'56,'90.38085938
'1,'Text 54,"'T. 90-216-488-8000",'57,'89.25781250
'1,'Text 55,"'T. 251-911-503-000",'58,'84.81445313
'1,'Text 56,"'MIDDLE EAST",'59,'57.27539063
'1,'Text 57,"'IRAN",'60,'57.08007813
'1,'Text 58,"'E. hakan.ek@hmf.com.tr",'61,'62.06054688
'1,'Text 59,"'E. ieethiopia1@gmail.com",'62,'93.99414063
'1,'Text 60,"'MYANMAR",'63,'98.04687500
'1,'Text 61,"'T. 951-2305336-37",'64,'81.68945313
'1,'Text 62,"'KENYA",'65,'97.41210938
'1,'Text 63,"'E. info@integral-ltd.com",'66,'89.11132813
'1,'Text 64,"'T. 254-722-667984",'67,'83.20312500
'1,'Text 65,"'BAHRAIN",'68,'72.11914063
'1,'Text 66,"'E. pslyall@skymaxenterprise.com",'69,'80.71289063
'1,'Text 67,"'PAKISTAN",'70,'99.07226563
'1,'Text 68,"'T. 973-17-702-468",'71,'58.69140625
'1,'Text 69,"'NIGERIA",'72,'98.58398438
'1,'Text 70,"'E. elevators@nassgroup.com",'73,'60.69335938
'1,'Text 71,"'T. 234-803-7352222",'74,'85.59570313
'1,'Text 72,"'E. nicolas@orionelevators.com",'75,'85.54687500
'1,'Text 73,"'PHILIPPINES",'76,'98.97460938
'1,'Text 74,"'T. 98-21-8869-8727-36",'77,'71.33789063
'1,'Text 75,"'REPUBLIC OF SOUTH AFRICA",'78,'96.87500000
'1,'Text 76,"'E. jafari_hyundai2015@yahoo.com",'79,'44.72656250
'1,'Text 77,"'T. 27-87-150-3550",'80,'84.96093750
'1,'Text 78,"'IRAQ",'81,'98.87695313
'1,'Text 79,"'E. infodmunaca.co.za",'82,'86.47460938
'1,'Text 80,"'SRILANKA",'83,'94.38476563
'1,'Text 81,"'T. 964-7901336498",'84,'53.32031250
'1,'Text 82,"'POLAND T. 48-61-820-8551 E. maciej.dziurkiewicz@omilifts.com",'85,'75.97656250
'1,'Text 83,"'E. arjoon_co@yahoo.com",'86,'55.37109375
'1,'Text 84,"'ISRAEL",'87,'64.40429688
'1,'Text 85,"'T. 972-3-9630000",'88,'68.01757813
'1,'Text 86,"'E. elib@ledico.com",'89,'73.58398438
'1,'Text 87,"'JORDAN",'90,'76.26953125
'1,'Text 88,"'KUWAIT",'91,'75.14648438
'1,'Text 89,"'T. 962-79-5526-713 E. m_bseiso@orange.jo",'92,'70.80078125
'1,'Text 90,"'T. 965-22-457-925",'93,'72.94921875
'1,'Text 91,"'E. info@dealgtc.com",'94,'65.77148438
'1,'Text 92,"'OMAN",'95,'77.39257813
'1,'Text 93,"'T. 968-9286-4334 E. techno.hyundai@gmail.com",'96,'70.26367188
'1,'Text 94,"'T. 974-436-6689",'97,'69.58007813
'1,'Text 95,"'QATAR",'98,'79.19921875
'1,'Text 96,"'SAUDI ARABIA",'99,'68.84765625
'1,'Text 97,"'E. info@ietg-hyundaielevator.com",'100,'59.61914063
'1,'Text 98,"'ARGENTINA",'101,'59.71679688
'1,'Text 99,"'T. 5411-3220-2878 5411-4488-1948",'102,'62.45117188
'1,'Text 100,"'COSTA RICA",'103,'91.79687500
'1,'Text 101,"'T. 94-11-2629208",'104,'87.54882813
'1,'Text 102,"'SUDAN",'105,'98.77929688
'1,'Text 103,"'E. rienzie@abansgroup.com",'106,'90.28320313
'1,'Text 104,"'T. 249-183-488741",'107,'81.78710938
'1,'Text 105,"'E. amirdafo@danfodio.sd",'108,'87.25585938
'1,'Text 106,"'THAILAND",'109,'96.67968750
'1,'Text 107,"'TUNISIA",'110,'98.97460938
'1,'Text 108,"'T. 216-71-886-980",'111,'86.27929688
'1,'Text 109,"'E. ideal.commercial@gnet.tn",'112,'84.37500000
'1,'Text 110,"'BANGLADESH",'113,'97.65625000
'1,'Text 111,"'T. 88-017-13209212",'114,'84.13085938
'1,'Text 112,"'T. 963-933-234134",'115,'61.66992188
'1,'Text 113,"'SYRIA",'116,'70.01953125
'1,'Text 114,"'E. waqqas@nsc-ksa.com",'117,'62.69531250
'1,'Text 115,"'E. terzian@scs-net.org",'118,'52.92968750
'1,'Text 116,"'T. 971-4-294-4475",'119,'56.49414063
'1,'Text 117,"'E. ogueta@skylift.com.an",'120,'67.04101563
'1,'Text 118,"'NORTH/SOUTH AMERICA",'121,'70.99609375
'1,'Text 119,"'UAE",'122,'67.38281250
'1,'Text 120,"'T. 967-1-450556 E. waha62@hotmail.com",'123,'70.75195313
'1,'Text 121,"'[Head office (Factory)] T. 55-51-3037-8686 E. syyun@hdel.co.kr",'124,'57.76367188
