'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'WHY HYUNDAI ELEVATOR","'","'26.20223999","'26.20223999"
"'1","'THE EL","'1080 high-speed elevator","'54.96342850","'54.96342850"
"'1","'The world's","'fastest elevator (1,080 m/min.)","'82.89573669","'82.89573669"
"'1","'THE EL DUO double-deck elevator","'through 2 vertically integrated elevators","'38.29306793","'38.29306793"
"'1","'GLOBAL","'OPERATIONS","'69.76319885","'69.76319885"
"'1","'1.8 times more loading capacity","'","'50.55812073","'50.55812073"
"'1","'SALES","'NETWORK","'80.00000000","'80.00000000"
"'1","'borders","'","'100.00000000","'100.00000000"
"'1","'CHINA","'SHANGHAI HYUNDAI ELEVATOR CO., LTD.","'93.48095703","'93.48095703"
"'1","'INDONESIA","'PT. HYUNDAI ELEVATOR INDONESIA","'94.45654297","'94.45654297"
"'1","'INDIA","'KINTETIC HYUNDAI ELEVATOR & MOVEMENT TECHNOLOGIES LIMITED","'94.78191376","'94.78191376"
"'1","'MALAYSIA","'HYUNDAI ELEVATOR [MALAYSIA] SDN. BHD","'94.31887817","'94.31887817"
"'1","'BRAZIL","'HYUNDAI ELEVADORES DO BRASIL LTDA.","'94.00483704","'94.00483704"
"'1","'VIETNAM","'HYUNDAI THANH CONG ELEVATOR VIETNAM CO., LIMITED","'91.48548889","'91.48548889"
"'1","'TURKEY","'HYUNDAI ELEVATOR [TURKEY] ASANSOR SERVIS SAN. VE TIC. A.S.","'88.32781982","'88.32781982"
"'1","'CHINA","'","'56.26471710","'56.26471710"
"'1","'INDIA","'","'54.88178253","'54.88178253"
"'1","'Icheon","'Headquarters [Factories 1, 2, 46,484 m2 state-of-the-art facilities Production of elevators, automated material handling parking systems, platform screen doors (PSD), etc. - Hyundai Asan Tower Hyundai Customer Care Center (CCC)","'62.22248077","'62.22248077"
"'1","'(Icheon, Korea)","'system,","'55.80205154","'55.80205154"
"'1","'BRAZIL","'","'58.71903229","'58.71903229"
"'1","'Brazil Factory","'13,337 m² state-of-the-art facilities","'94.62616730","'94.62616730"
"'1","'(São Leopoldo, Brazil)","'Production of elevators","'94.06985474","'94.06985474"
"'1","'China Factory","'28,716 m² state-of-the-art facilities","'84.18103027","'84.18103027"
"'1","'(Shanghai, China)","'Production of elevators and escalators Elevator test tower (72 m high)","'93.30668640","'93.30668640"
