"'CHINA","'SHANGHAI HYUNDAI ELEVATOR CO., LTD.",
"'INDONESIA","'PT. HYUNDAI ELEVATOR INDONESIA",
"'INDIA","'KINTETIC HYUNDAI ELEVATOR & MOVEMENT TECHNOLOGIES LIMITED",
"'MALAYSIA","'HYUNDAI ELEVATOR [MALAYSIA] SDN. BHD",
"'BRAZIL","'HYUNDAI ELEVADORES DO BRASIL LTDA.",
"'VIETNAM","'HYUNDAI THANH CONG ELEVATOR VIETNAM CO., LIMITED",
"'TURKEY","'HYUNDAI ELEVATOR [TURKEY] ASANSOR SERVIS SAN. VE TIC. A.S.",
,

'Confidence Scores % (Table Cell)
""'90.62500000","'95.99609375",
"'86.32812500","'91.45507813",
"'87.06054688","'92.18750000",
"'85.44921875","'90.47851563",
"'84.37500000","'89.35546875",
"'82.51953125","'87.40234375",
"'83.74023438","'88.72070313",
